№,Наименование спортивного сооружения,Район Санкт-Петербурга,Адрес объекта,Наименование эксплуатирующей организации,Площадь (кв.м)
1,"Стадион ""Красный треугольник""",Адмиралтейский,"Лифляндская ул., дом 5, корп. 3, лит. А",ГБОУ ДОД СДЮСШОР № 1 Адмиралтейского района,19480
2,Футбольная площадка,Адмиралтейский,"Большой Казачий пер., уч. 2 (юго-восточнее дома 10, лит. А)","ГБУ ""Центр физической культуры, спорта и здоровья Адмиралтейского района""",695
3,Спортивная площадка,Адмиралтейский,"Бумажная ул., уч. 3 (южнее дома 156, лит. З по наб. Обводного канала)","ГБУ ""Центр физической культуры, спорта и здоровья Адмиралтейского района""",878
4,Спортивная площадка,Адмиралтейский,"Гороховая ул., уч. 7 (восточнее дома 41, лит. Е)","ГБУ ""Центр физической культуры, спорта и здоровья Адмиралтейского района""",456
5,Спортивная площадка,Адмиралтейский,"Измайловский пр., уч. 11 (западнее дома 11, лит. А)","ГБУ ""Центр физической культуры, спорта и здоровья Адмиралтейского района""",310
6,Спортивная площадка,Адмиралтейский,"Курляндская ул., уч. 5 (юго-западнее дома 16-18, лит. А)","ГБУ ""Центр физической культуры, спорта и здоровья Адмиралтейского района""",490
7,Хоккейная площадка,Адмиралтейский,"Лермонтовский пр., уч. 6 (западнее дома 49, лит. А)","ГБУ ""Центр физической культуры, спорта и здоровья Адмиралтейского района""",652
8,Футбольная площадка,Адмиралтейский,"Лоцманская ул., уч. 1 (северо-западнее дома 29, лит. Г по Витебской ул.)","ГБУ ""Центр физической культуры, спорта и здоровья Адмиралтейского района""",326
9,Спортивная площадка,Адмиралтейский,"Можайская ул., дом 44-48, лит. А","ГБУ ""Центр физической культуры, спорта и здоровья Адмиралтейского района""",1557
10,Футбольная площадка,Адмиралтейский,"Московский пр., уч. 31 (южнее дома 79, лит. Б)","ГБУ ""Центр физической культуры, спорта и здоровья Адмиралтейского района""",1089
11,Футбольная площадка,Адмиралтейский,"Московский пр., уч. 32 (севернее дома 75, лит. А)","ГБУ ""Центр физической культуры, спорта и здоровья Адмиралтейского района""",660
12,Баскетбольная площадка,Адмиралтейский,"Рижский пр., уч. 10 (севернее дома 39, лит. А по Курляндской ул.)","ГБУ ""Центр физической культуры, спорта и здоровья Адмиралтейского района""",497
13,Спортивная площадка,Адмиралтейский,"Садовая ул., уч. 25 (южнее дома 170, лит. В по наб. канала Грибоедова)","ГБУ ""Центр физической культуры, спорта и здоровья Адмиралтейского района""",353
14,Баскетбольная площадка,Адмиралтейский,"ул. Союза Печатников, уч. 7 (северо-восточнее дома 14 по Дровяному пер.)","ГБУ ""Центр физической культуры, спорта и здоровья Адмиралтейского района""",100
15,Футбольная площадка,Адмиралтейский,"наб. р. Фонтанки, уч. 11 (восточнее дома 130, лит. А)","ГБУ ""Центр физической культуры, спорта и здоровья Адмиралтейского района""",235
16,Футбольная площадка,Адмиралтейский,"наб. р. Фонтанки, уч. 12 (во дворе дома 150, лит. А)","ГБУ ""Центр физической культуры, спорта и здоровья Адмиралтейского района""",297
17,Спортивная площадка,Адмиралтейский,"Казанская ул., дом 27, лит. А",ГБОУ Вторая Санкт-Петербургская Гимназия,317
18,Спортивная площадка,Адмиралтейский,"Казанская ул., дом 48, лит. А",ГБОУ Вторая Санкт-Петербургская Гимназия,170
19,Спортивная площадка,Адмиралтейский,"Канонерская ул., дом 33, лит. А",ГБОУ СОШ № 234,702
20,Спортивная площадка,Адмиралтейский,"Садовая ул., дом 108-110, лит. А",ГБОУ СОШ № 234,336
21,Баскетбольная площадка,Адмиралтейский,"наб. реки Пряжки, дом 4-6, лит. А",ГБОУ СОШ № 235 им. Д.Д. Шостаковича,220
22,Волейбольная площадка,Адмиралтейский,"наб. реки Пряжки, дом 4-6, лит. А",ГБОУ СОШ № 235 им. Д.Д. Шостаковича,262
23,Футбольная площадка,Адмиралтейский,"наб. реки Пряжки, дом 4-6, лит. А",ГБОУ СОШ № 235 им. Д.Д. Шостаковича,608
24,Силовой городок,Адмиралтейский,"наб. реки Пряжки, дом 4-6, лит. А",ГБОУ СОШ № 235 им. Д.Д. Шостаковича,90
25,Спортивная площадка,Адмиралтейский,"Галерная ул., дом 36-38, лит. А",ГБОУ СОШ № 238,800
26,Футбольная площадка,Адмиралтейский,"Вознесенский пр., дом 38/4, лит. А",ГБОУ СОШ № 241,670
27,Баскетбольная площадка,Адмиралтейский,"Вознесенский пр., дом 38/4, лит. А",ГБОУ СОШ № 241,162
28,Спортивная площадка,Адмиралтейский,"наб. Крюкова канала, дом 3, лит. А",ГБОУ СОШ № 259,230
29,Спортивная площадка,Адмиралтейский,"Лермонтовский пр., дом 21, лит. А",ГБОУ СОШ № 260,317
30,Спортивная площадка,Адмиралтейский,"Старо-Петергофский пр., дом 33, лит. А",ГБОУ СОШ № 263,988
31,Спортивная площадка,Адмиралтейский,"8-я Красноармейская ул., дом 3, лит. А",ГБОУ гимназия № 272,496
32,Спортивная площадка,Адмиралтейский,"Дровяная ул., дом 7а, лит. А",ГБОУ гимназия № 278,375
33,Спортивная площадка,Адмиралтейский,"ул. Циолковского, дом 8, лит. А",ГБОУ гимназия № 278,300
34,Баскетбольная площадка,Адмиралтейский,"Советский пер., дом 4, лит. А",ГБОУ лицей № 281,300
35,Спортивная площадка,Адмиралтейский,"10-я Красноармейская ул., дом 5а, лит. А",ГБОУ СОШ № 286 ,1058
36,Спортивная площадка,Адмиралтейский,"10-я Красноармейская ул., дом 5а, лит. А",ГБОУ СОШ № 286 ,308
37,Спортивная площадка,Адмиралтейский,"10-я Красноармейская ул., дом 5а, лит. А",ГБОУ СОШ № 286 ,432
38,Спортивная площадка,Адмиралтейский,"Бумажная ул., дом 5, лит. А",ГБОУ СОШ № 287 ,420
39,Спортивная площадка,Адмиралтейский,"Курляндская ул., дом 43, лит. А",ГБОУ СОШ № 288,900
40,Футбольная площадка,Адмиралтейский,"Малодетскосельский пр., дом 23, лит. А",ГБОУ СОШ № 307,764
41,Спортивная площадка,Адмиралтейский,"Малодетскосельский пр., дом 23, лит. А",ГБОУ СОШ № 307,470
42,Спортивная площадка,Адмиралтейский,"Серпуховская ул., дом 39, лит. А",ГБОУ СОШ № 317,600
43,Футбольная площадка,Адмиралтейский,"Малодетскосельский пр., дом 17-19/34, лит. А",ГБС(К)ОУ С(К)ОШ № 522,390
44,Беговая дорожка,Адмиралтейский,"ул. Егорова, дом 24, лит. А",ГБОУ СОШ № 564,110
45,Спортивная площадка,Адмиралтейский,"ул. Егорова, дом 24, лит. А",ГБОУ СОШ № 564,288
46,Спортивная площадка,Адмиралтейский,"наб. Обводного канала, дом 143, лит. А",ГБОУ СОШ № 564,534
47,Спортивная площадка,Адмиралтейский,"Нарвский пр. дом 4-6, лит. А",ГБОУ НОШ № 615,280
48,Спортивная площадка,Адмиралтейский,"8-я Красноармейская ул., дом 16, лит. А",ГБОУ НШ-ДС № 624,544
49,Спортивная площадка,Адмиралтейский,"ул. Писарева, дом 12, лит. Б","ГБСУСО ""Центр для детей-сирот и детей, оставшихся без попечения родителей № 26""",405
50,Спортивная площадка,Адмиралтейский,"Вознесенский пр., уч. 10 (восточнее дома 34, лит. Н)","ГБУ ""Центр ""Адмиралтейский"" по работе с подростками и молодежью""",1190
51,Спортивная площадка,Адмиралтейский,"Большая Подьяческая ул., уч. 1 (севернее дома 17, лит. А)","ГБУ ""Центр ""Адмиралтейский"" по работе с подростками и молодежью""",919
52,Спортивная площадка,Адмиралтейский,"Английский пр., уч. 5 (юго-западнее дома 17-19, лит. Т)","ГБУ ""Центр социальной реабилитации инвалидов и детей-инвалидов Адмиралтейского района""",357
53,Спортивная площадка,Адмиралтейский,"Измайловский пр., уч. 12 (западнее дома 2, лит. Б)","ГБУ ""Центр социальной реабилитации инвалидов и детей-инвалидов Адмиралтейского района""",854
54,Спортивная площадка,Адмиралтейский,"Наб. р. Пряжки, д. 58-60","ГБОУ ДОД ""Центр технического творчества""",360
55,Баскетбольная площадка,Адмиралтейский,"наб. Обводного канала, дом 154а, лит. А","ГАПОУ ""Колледж туризма и гостиничного сервиса""",264
56,Спортивная площадка,Адмиралтейский,"наб. Обводного канала, дом 154а, лит. А","ГАПОУ ""Колледж туризма и гостиничного сервиса""",90
57,Площадка теннисных кортов,Адмиралтейский,парк Екатерингоф на Екатерингофском о-ве,"ГКУ ""Парк культуры и отдыха ""Екатерингоф""",1548
58,Площадка теннисных кортов,Адмиралтейский,парк Екатерингоф на Екатерингофском о-ве,"ГКУ ""Парк культуры и отдыха ""Екатерингоф""",1548
59,Площадка для выездки,Адмиралтейский,парк Екатерингоф на Екатерингофском о-ве,"ГКУ ""Парк культуры и отдыха ""Екатерингоф""",2375
60,Спортивная площадка,Адмиралтейский,"сквер б/н на наб. р. Пряжки, дом 66","ГКУ ""Жилищное агентство Адмиралтейского района""",403
61,Уличные Тренажеры,Адмиралтейский,сквер б/н северо-западнее пересечения Подольской ул. и наб. Обводного кан.,"ГКУ ""Жилищное агентство Адмиралтейского района""",1102
62,Уличные Тренажеры,Адмиралтейский,"наб. р. Фонтанки, южнее дома 164, лит. А","ГКУ ""Жилищное агентство Адмиралтейского района""",418
63,Уличные Тренажеры,Адмиралтейский,"ул. Шкапина, севернее дома 6, лит. А","ГКУ ""Жилищное агентство Адмиралтейского района""",392
64,Уличные Тренажеры,Адмиралтейский,"Бронницкая ул., севернее дома 40, лит. А","ГКУ ""Жилищное агентство Адмиралтейского района""",112
65,Площадка настольного тенниса,Адмиралтейский,"наб. Обводного кан., дом 121, лит. А-Б (внутридворовая территория)","ГКУ ""Жилищное агентство Адмиралтейского района""",130
66,Площадка уличных тренажёров,Адмиралтейский,"наб. Обводного кан., дом 121, лит. А-Б (внутридворовая территория)","ГКУ ""Жилищное агентство Адмиралтейского района""",720
67,Площадка уличных тренажёров,Адмиралтейский,"Курляндская ул., западнее дома 22-24, лит. Л","ГКУ ""Жилищное агентство Адмиралтейского района""",486
68,Уличные Тренажеры,Адмиралтейский,"Московский пр., дом 75, лит. А (внутридворовая территория)","ГКУ ""Жилищное агентство Адмиралтейского района""",200
69,Уличные Тренажеры,Адмиралтейский,"внутриквартальный сквер на Английском пр., дом 17-19","ГКУ ""Жилищное агентство Адмиралтейского района""",750
70,Стадион им. Д.П. Пугачёва-Ионова,Адмиралтейский,"ул. Декабристов, дом 35, корп. 2, лит. В","ФГБОУ ВПО ""Национальный государственный Университет физической культуры, спорта и здоровья им. П.Ф. Лесгафта, СПб""",7605
71,Спортивная площадка,Адмиралтейский,"Юсуповский сад, уч. 6 (южнее дома 50б, лит. А по Садовой ул.)",ФГБОУ ВПО ПГУПС,3526
72,Спортивная площадка,Адмиралтейский,"7-я Красноармейская ул., дом 12-14, лит. А",ФГБОУ ВПО ПГУПС,540
73,Гимнастический городок,Адмиралтейский,"Измайловский пр., восточнее дома 2а, лит. А",Войсковая часть 5402,1200
74,Теннисный корт,Адмиралтейский,Алексеевский сад между ул. Писарева и домом 2 по Английскому пр.,"ОАО ""Садово-парковое предприятие ""Центральное""",540
75,Теннисный корт,Адмиралтейский,"Никольский сад между наб. Крюкова кан., пр. Римского-Корсакова, Никольской пл. и наб. кан. Грибоедова","ОАО ""Садово-парковое предприятие ""Центральное""",646
76,Спортивное ядро,Василеостровский,"Наличная ул., дом 44, корп. 3, лит. А",ГБОУ ДОД ДЮСШ № 2 Василеостровского района,18500
77,Теннисный корт,Василеостровский,"Наличная ул., уч. 134 (у дома 44, корп. 5, лит. А)",ГБОУ ДОД ДЮСШ № 2 Василеостровского района,576
78,Теннисный корт,Василеостровский,"Наличная ул., уч. 134 (у дома 44, корп. 5, лит. А)",ГБОУ ДОД ДЮСШ № 2 Василеостровского района,576
79,Теннисный корт (крытый),Василеостровский,"Наличная ул., уч. 134 (у дома 44, корп. 5, лит. А)",ГБОУ ДОД ДЮСШ № 2 Василеостровского района,648
80,Теннисный корт (крытый),Василеостровский,"Наличная ул., уч. 134 (у дома 44, корп. 5, лит. А)",ГБОУ ДОД ДЮСШ № 2 Василеостровского района,576
81,Теннисный корт (крытый),Василеостровский,"Наличная ул., уч. 134 (у дома 44, корп. 5, лит. А)",ГБОУ ДОД ДЮСШ № 2 Василеостровского района,576
82,Футбольное поле,Василеостровский,"Средний пр. В.О., дом 87, корп. 2, лит. А","ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",6400
83,Спортивная площадка,Василеостровский,"Средний пр. В.О., дом 87, корп. 2, лит. А","ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",1800
84,Спортивная площадка,Василеостровский,"Средний пр. ,87, к.2","ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",288
85,Спортивная площадка,Василеостровский,"4-я линия В.О., уч. 9 (внутридворовая территрия дома 19, лит. А)","ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",314
86,Спортивная площадка,Василеостровский,"9-я линия В.О., уч. 15 (внутридворовая территория дома 44, лит. А)","ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",488
87,Спортивная площадка,Василеостровский,"9-я линия В.О., уч. 13 (внутридворовая территория дома 68, лит. А)","ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",147
88,Спортивная площадка,Василеостровский,"10-ая линия В.О., д.37, лит. Б","ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",76
89,Спортивная площадка,Василеостровский,"12-я линия В.О., уч. 12 (внутридворовая территория дома 21, лит. А)","ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",536
90,Спортивная площадка,Василеостровский,"15-я линия В.О., уч. 11 (внутридворовая территория дома 18-20)","ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",590
91,Спортивная площадка,Василеостровский,"16-ая линия В.О., д. 97","ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",411
92,Спортивная площадка,Василеостровский,"17-ая линия В.О., д. 12","ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",325
93,Спортивная площадка,Василеостровский,"17-я линия В.О., уч. 14 (внутридворовая территория дома 18)","ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",446
94,Спортивная площадка,Василеостровский,"19-я линия В.О., уч. 12 (внутридворовая территория дома 2, лит. А)","ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",439
95,Спортивная площадка,Василеостровский,"19-ая линия В.О., д. 20-22","ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",478
96,Спортивная площадка,Василеостровский,"21-ая линия В.О., д.10","ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",338
97,Спортивная площадка,Василеостровский,"21-я линия В.О., уч. 7 (внутридворовая территория между домом 16, корп. 4, лит. Г и домом 16, корп. 5)","ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",338
98,Спортивная площадка,Василеостровский,"23-я линия В.О., д.28, лит. А","ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",457
99,Спортивная площадка,Василеостровский,"ул. Беринга, уч. 7 (внутридворовая территория дома 16)","ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",227
100,Спортивная площадка,Василеостровский,"ул. Беринга, уч. 8 (у дома 26, корп. 3, лит. Е)","ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",670
101,Спортивная площадка,Василеостровский,"Гаванская ул., уч. 21 (внутридворовая территория дома 41, лит. А)","ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",107
102,Спортивная площадка,Василеостровский,"Гаванская ул., д. 53-54, лит. А","ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",6672
103,Спортивная площадка,Василеостровский,"Железноводская ул., д. 26-28, лит. А","ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",294
104,Спортивная площадка,Василеостровский,"Железноводская ул., уч. 38 (внутридворовая территория дома 58)","ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",679
105,Спортивная площадка,Василеостровский,"Канареечная ул., уч. 1 (внутридворовая территория дома 10)","ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",196
106,Спортивная площадка,Василеостровский,"Карташихина ул., уч. 3 (внутридворовая территория дома 19, лит. А)","ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",468
107,Спортивная площадка,Василеостровский,"Карташихина ул., уч. 4 (внутридворовая территория дома 19, лит. А)","ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",1419
108,Спортивная площадка,Василеостровский,"ул. Кораблестроителей, уч. 83 (внутридворовая территория между домом 29, корп. 2, лит. А и домом 29, корп. 4, лит. А)","ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",1684
109,Спортивная площадка,Василеостровский,"ул. Кораблестроителей, уч. 86 (у дома 38, корп. 1, лит. А)","ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",1225
110,Спортивная площадка,Василеостровский,"ул. Кораблестроителей, уч. 88 (у дома 38, корп. 3, лит. А)","ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",1728
111,Спортивная площадка,Василеостровский,"ул. Кораблестроителей, уч. 85 (внутридворовая территория дома 39, лит. А)","ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",432
112,Спортивная площадка,Василеостровский,"ул. Кораблестроителей, уч. 84 (внутридворовая территория дома 39, лит. Г)","ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",937
113,Спортивная площадка,Василеостровский,"Кораблестроителей ул., д.46, к.1, лит. Б","ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",459
114,Спортивная площадка,Василеостровский,"Морская наб., д.9, лит. А","ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",610
115,Спортивная площадка,Василеостровский,"Наличная улица, уч. 93 (внутридворовая территория дома 5, лит. А)","ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",1103
116,Спортивная площадка,Василеостровский,"Наличная ул., уч. 92 (внутридворовая территория дома 19, лит. Б)","ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",360
117,Спортивная площадка,Василеостровский,"Наличная ул., д. 31, лит. А","ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",375
118,Спортивная площадка,Василеостровский,"Наличная ул., уч. 96 (внутридворовая территория между домом 36, корп. 6 и домом 36, корп. 7, лит. А)","ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",602
119,Спортивная площадка,Василеостровский,"Наличная ул., уч. 95 (внутридворовая территория между домом 40, корп. 5 и домом 40, корп. 4, лит. А)","ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",936
120,Спортивная площадка,Василеостровский,"Наличная ул., д.45, к.1","ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",702
121,Спортивная площадка,Василеостровский,"ул. Шевченко, уч. 9 (у дома 35, лит. А)","ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",886
122,Спортивная площадка,Василеостровский,"Наличная ул., дом 32, корп. 2, лит. А",ГБОУ СОШ № 2,5470
123,Спортивная площадка,Василеостровский,"ул. Опочинина, 10",ГБОУ СОШ №4,1596
124,Спортивная площадка,Василеостровский,"Большой пр., 88",ГБОУ СОШ №4,2000
125,Спортивная площадка,Василеостровский,"ул. Шевченко, 6",ГБОУ СОШ №6,384
126,Спортивная площадка,Василеостровский,"ул. Кораблестроителей, дом 42, корп. 2, лит. А",ГБОУ СОШ № 10,2925
127,Спортивная площадка,Василеостровский,"ул. Кораблестроителей, дом 42, корп. 2, лит. А",ГБОУ СОШ № 10,589
128,Спортивная площадка,Василеостровский,"ул. Кораблестроителей, дом 42, корп. 2, лит. А",ГБОУ СОШ № 10,220
129,Спортивная площадка,Василеостровский,"16-я линия ВО, 55",ГБОУ Гимназия №11,600
130,Спортивная площадка,Василеостровский,"ул. Кораблестроителей, дом 21, корп. 3, лит. А",ГБОУ СОШ № 12,2925
131,Спортивная площадка,Василеостровский,"Наличная ул., дом 44, корп. 5, лит. А",ГБОУ СОШ №16,1309
132,Спортивная площадка,Василеостровский,"Наличная ул., дом 44, корп. 5, лит. А",ГБОУ СОШ №16,451
133,Спортивная площадка,Василеостровский,"19-я линия ВО, 22",ГБОУ СОШ №17,600
134,Спортивная площадка,Василеостровский,"пр. Кима, 11а",ГБОУ СОШ №18,600
135,Спортивная площадка,Василеостровский,"Средний пр., 20",ГБОУ СОШ №24,638
136,Спортивная площадка,Василеостровский,"наб. Лейтенанта Шмидта, 15/1",ГБОУ СОШ №27,250
137,Спортивная площадка,Василеостровский,"7-я линия ВО, 66",ГБОУ СОШ №28,314
138,Спортивная площадка,Василеостровский,"Малый пр., 34",ГБОУ СОШ №29,600
139,Спортивная площадка,Василеостровский,"ул. Шевченко, дом 23, корп. 2, лит. А","ГБОУ ""Санкт-Петербургский губернаторский физико-математический лицей № 30""",2140
140,Спортивная площадка,Василеостровский,"ул. Кораблестроителей, дом 38, корп. 2, лит. А",ГБОУ СОШ № 31,2650
141,Спортивная площадка,Василеостровский,"2-я линия ВО, 43",ГБОУ Гимназия №32,264
142,Спортивная площадка,Василеостровский,"Кадетская линия ВО, 3/5",ГБОУ СОШ №35,1419
143,Спортивная площадка,Василеостровский,"Канареечная ул., 11-Гаванская ул., 50 ",ГБОУ СОШ №36,600
144,Спортивная площадка,Василеостровский,"пер. Каховского, 2",ГБОУ школа-интернат №576 ,600
145,Спортивная площадка,Василеостровский,"Морская наб., дом 15, корп 2, лит. А","ГБОУ гимназия № 642 ""Земля и Вселенная""",2925
146,Спортивная площадка,Василеостровский,"ул. Опочинина, 7",ГБОУ Гимназия №642 «Земля и Вселенная»,600
147,Футбольная площадка,Василеостровский,"ул. Кораблестроителей, дом 18, лит. А","ГБПОУ ""Колледж судостроения и прикладных технологий""",735
148,Спортивная площадка,Василеостровский,"ул. Кораблестроителей, дом 18, лит. А","ГБПОУ ""Колледж судостроения и прикладных технологий""",440
149,Спортивная площадка,Василеостровский,"16-я линия ВО, 95-97",МО Васильевский,280
150,Спортивная площадка,Василеостровский,"Большой пр., 50",МО №7,450
151,Спортивная площадка,Василеостровский,"ул. Кораблестроителей, 30, к.2",МО Остров Декабристов,1500
152,Спортивная площадка,Василеостровский,"Морская наб., 39",МО №11,540
153,Спортивная площадка,Василеостровский,"Морская наб., 39",МО №11,528
154,Спортивная площадка,Василеостровский,"Железноводская ул., 25-27",МО №11,1560
155,Футбольное поле,Василеостровский,"Университетская наб., дом 13, лит. А","ФГБОУ ВПО ""Санкт-Петербургский государственный университет""",5264
156,Спортивная площадка,Василеостровский,"пер. Каховского, дом 9, лит. А",Академическая гимназия СПб государственного университета им. Д.К. Фаддеева,2925
157,Спортивная площадка,Василеостровский,"Детская ул., дом 17, корп. 1, лит. А","ФГБОУ ""СПб государственный академический художественный лицей им. Б.В. Иогансона при Российской академии художеств"" ",961
158,Спортивная площадка,Василеостровский,"22-я линия ВО, 22",Морская академия им. С.О. Макарова,450
159,Спортивная площадка,Василеостровский,"Косая линия ВО, 15а",Морская академия им. С.О. Макарова,450
160,Баскетбольная площадка,Выборгский,"ул. Жака Дюкло, уч. 1 (юго-восточнее дома 8, корп. 1, лит. А)","ГБОУ ДОД ДЮСШ ""Выборжанин""",424
161,Хоккейная площадка,Выборгский,"ул. Композиторов, уч. 3 (восточнее дома 11, корп. 2, лит. А)","ГБОУ ДОД ДЮСШ ""Выборжанин""",786
162,"Бейсбольная площадка, уличные тренажёры",Выборгский,"пр. Культуры, уч. 1 (западнее дома 12, корп. 1, лит. А)","ГБОУ ДОД ДЮСШ ""Выборжанин""",5011
163,"Баскетбольная площадка, уличные тренажёры",Выборгский,"пр. Культуры, уч. 2 (восточнее дома 22, корп. 2)","ГБОУ ДОД ДЮСШ ""Выборжанин""",2605
164,"Баскетбольная площадка, уличные тренажёры",Выборгский,"пр. Культуры, уч. 1 (западнее дома 26, корп. 1, лит. А)","ГБОУ ДОД ДЮСШ ""Выборжанин""",377
165,Детская площадка,Выборгский,"пос. Левашово, Новоселки, ул. Добрая Горка, уч. 1 (западнее дома 65)","ГБОУ ДОД ДЮСШ ""Выборжанин""",212
166,Баскетбольная площадка,Выборгский,"Нежинская ул., уч. 2 (юго-западнее дома 4, лит. А)","ГБОУ ДОД ДЮСШ ""Выборжанин""",652
167,"Волейбольная площадка, уличные тренажёры",Выборгский,"пос. Парголово, Михайловка, ул. Ленина, уч. 1 (северо-восточнее дома 40)","ГБОУ ДОД ДЮСШ ""Выборжанин""",311
168,"Детская площадка, уличные тренажёры",Выборгский,"пос. Парголово, ул. Первого Мая, уч. 1 (юго-западнее дома 81)","ГБОУ ДОД ДЮСШ ""Выборжанин""",1047
169,"Детская площадка, уличные тренажёры",Выборгский,"пос. Парголово, ул. Первого Мая, уч. 3 (северо-западнее дома 91)","ГБОУ ДОД ДЮСШ ""Выборжанин""",990
170,Хоккейная площадка,Выборгский,"пос. Парголово, ул. Первого Мая, уч. 5 (северо-восточнее дома 99)","ГБОУ ДОД ДЮСШ ""Выборжанин""",983
171,Мини-футбольная площадка,Выборгский,"пос. Парголово, Торфяное, Кооперативная ул., уч. 1 (южнее дома 18)","ГБОУ ДОД ДЮСШ ""Выборжанин""",792
172,"Детская площадка, уличные тренажёры",Выборгский,"пос. Парголово, Торфяное, Старожиловская ул., уч. 1 (западнее дома 2)","ГБОУ ДОД ДЮСШ ""Выборжанин""",160
173,"Хоккейная площадка, уличные тренажёры",Выборгский,"пр. Просвещения, уч. 1 (севернее дома 22, корп. 1)","ГБОУ ДОД ДЮСШ ""Выборжанин""",1554
174,"Баскетбольная площадка, спортивная площадка",Выборгский,"пр. Просвещения, уч. 2 (севернее дома 32, корп. 1, лит. А)","ГБОУ ДОД ДЮСШ ""Выборжанин""",2328
175,Уличные тренажёры,Выборгский,"пр. Просвещения, уч. 3 (севернее дома 32, корп. 1, лит. А)","ГБОУ ДОД ДЮСШ ""Выборжанин""",243
176,Хоккейная площадка,Выборгский,"пр. Просвещения, уч. 1 (южнее дома 41, лит. А)","ГБОУ ДОД ДЮСШ ""Выборжанин""",316
